,target,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height
13,2,0.9136690647482014,0.9136690647482014,0.7194244604316546,0.3381294964028777,0.12949640287769784,0.34532374100719426,0.02877697841726619,0.17266187050359713,0.33093525179856115,0.17985611510791366,0.06474820143884892,0.18705035971223022,0.06474820143884892,0.381294964028777,0.1223021582733813
14,2,0.9264705882352942,0.9264705882352942,0.625,0.33088235294117646,0.15441176470588236,0.34558823529411764,0.058823529411764705,0.16911764705882354,0.3014705882352941,0.18382352941176472,0.051470588235294115,0.18382352941176472,0.058823529411764705,0.39705882352941174,0.11764705882352941
15,2,0.9548872180451128,0.9548872180451128,0.6090225563909775,0.3233082706766917,0.15789473684210525,0.3458646616541353,0.05263157894736842,0.17293233082706766,0.3007518796992481,0.18045112781954886,0.06015037593984962,0.18796992481203006,0.05263157894736842,0.39849624060150374,0.12781954887218044
16,2,0.9473684210526315,0.9473684210526315,0.6390977443609023,0.3383458646616541,0.15037593984962405,0.3533834586466165,0.05263157894736842,0.17293233082706766,0.3007518796992481,0.18796992481203006,0.06015037593984962,0.18045112781954886,0.06015037593984962,0.41353383458646614,0.11278195488721804
17,2,0.9548872180451128,0.9548872180451128,0.6616541353383458,0.3308270676691729,0.14285714285714285,0.3533834586466165,0.05263157894736842,0.16541353383458646,0.3082706766917293,0.18796992481203006,0.06015037593984962,0.18796992481203006,0.06015037593984962,0.39849624060150374,0.13533834586466165
18,2,0.927007299270073,0.927007299270073,0.7153284671532847,0.31386861313868614,0.12408759124087591,0.34306569343065696,0.0364963503649635,0.17518248175182483,0.32116788321167883,0.18248175182481752,0.06569343065693431,0.18248175182481752,0.058394160583941604,0.3795620437956204,0.10948905109489052
19,2,0.9389312977099237,0.9389312977099237,0.6946564885496184,0.33587786259541985,0.13740458015267176,0.3435114503816794,0.04580152671755725,0.17557251908396945,0.3282442748091603,0.19083969465648856,0.061068702290076333,0.183206106870229,0.061068702290076333,0.3893129770992366,0.1297709923664122
20,3,0.9466019417475728,0.9466019417475728,0.8155339805825242,0.32038834951456313,0.06796116504854369,0.3058252427184466,0.03398058252427184,0.17475728155339806,0.33980582524271846,0.16990291262135923,0.05825242718446602,0.16990291262135923,0.05339805825242718,0.3592233009708738,0.13592233009708737
21,3,0.994535519125683,0.994535519125683,0.7486338797814208,0.32786885245901637,0.08743169398907104,0.31693989071038253,0.03278688524590164,0.16393442622950818,0.31693989071038253,0.17486338797814208,0.04371584699453552,0.17486338797814208,0.04371584699453552,0.39344262295081966,0.16393442622950818
22,3,0.973404255319149,0.973404255319149,0.7393617021276596,0.324468085106383,0.09042553191489362,0.30851063829787234,0.0425531914893617,0.18617021276595744,0.324468085106383,0.17553191489361702,0.05319148936170213,0.17553191489361702,0.047872340425531915,0.44680851063829785,0.16489361702127658
23,3,0.9808612440191388,0.9808612440191388,0.722488038277512,0.3253588516746411,0.0861244019138756,0.3157894736842105,0.03349282296650718,0.17703349282296652,0.32057416267942584,0.18181818181818182,0.0430622009569378,0.1722488038277512,0.0430622009569378,0.4354066985645933,0.1339712918660287
24,3,0.9904761904761905,0.9904761904761905,0.7285714285714285,0.3238095238095238,0.08095238095238096,0.319047619047619,0.03333333333333333,0.16666666666666666,0.3142857142857143,0.1761904761904762,0.047619047619047616,0.18095238095238095,0.05238095238095238,0.41904761904761906,0.1619047619047619
25,3,0.985,0.985,0.735,0.3,0.085,0.31,0.04,0.165,0.31,0.165,0.025,0.17,0.03,0.405,0.175
26,3,1.0,1.0,0.6914893617021277,0.32978723404255317,0.10106382978723404,0.3191489361702128,0.03723404255319149,0.1702127659574468,0.31382978723404253,0.18617021276595744,0.06382978723404255,0.18617021276595744,0.06382978723404255,0.43617021276595747,0.1702127659574468
27,3,0.9578947368421052,0.9578947368421052,0.7263157894736842,0.29473684210526313,0.08421052631578947,0.3105263157894737,0.042105263157894736,0.17894736842105263,0.3263157894736842,0.16842105263157894,0.04736842105263158,0.1736842105263158,0.04736842105263158,0.42105263157894735,0.17894736842105263
28,3,0.9611650485436893,0.9611650485436893,0.7184466019417476,0.3058252427184466,0.0970873786407767,0.3106796116504854,0.03398058252427184,0.16990291262135923,0.3058252427184466,0.17475728155339806,0.05339805825242718,0.17475728155339806,0.04854368932038835,0.3883495145631068,0.18446601941747573
29,3,0.9901477832512315,0.9901477832512315,0.6945812807881774,0.3251231527093596,0.09359605911330049,0.32019704433497537,0.034482758620689655,0.1724137931034483,0.31527093596059114,0.17733990147783252,0.04926108374384237,0.17733990147783252,0.04926108374384237,0.43349753694581283,0.14285714285714285
30,4,0.978494623655914,0.978494623655914,0.5806451612903226,0.2956989247311828,0.13978494623655913,0.3172043010752688,0.03763440860215054,0.16666666666666666,0.27956989247311825,0.1827956989247312,0.053763440860215055,0.1881720430107527,0.04838709677419355,0.41397849462365593,0.23655913978494625
31,4,0.9944444444444445,0.9944444444444445,0.5944444444444444,0.3111111111111111,0.15,0.3277777777777778,0.05,0.17222222222222222,0.28888888888888886,0.18888888888888888,0.05,0.18333333333333332,0.05,0.42777777777777776,0.20555555555555555
32,4,0.9726775956284153,0.9726775956284153,0.6120218579234973,0.30601092896174864,0.1366120218579235,0.3224043715846995,0.04918032786885246,0.16939890710382513,0.30601092896174864,0.18579234972677597,0.04918032786885246,0.18579234972677597,0.0546448087431694,0.3989071038251366,0.20765027322404372
33,4,0.988950276243094,0.988950276243094,0.5580110497237569,0.2983425414364641,0.143646408839779,0.32044198895027626,0.04419889502762431,0.1712707182320442,0.281767955801105,0.18232044198895028,0.049723756906077346,0.18232044198895028,0.03867403314917127,0.4419889502762431,0.2265193370165746
34,4,0.988950276243094,0.988950276243094,0.580110497237569,0.30386740331491713,0.14917127071823205,0.3259668508287293,0.04419889502762431,0.16574585635359115,0.281767955801105,0.18232044198895028,0.055248618784530384,0.18232044198895028,0.049723756906077346,0.4198895027624309,0.23756906077348067
35,4,0.9834254143646409,0.9834254143646409,0.585635359116022,0.30939226519337015,0.13812154696132597,0.3149171270718232,0.03867403314917127,0.16574585635359115,0.281767955801105,0.1878453038674033,0.049723756906077346,0.18232044198895028,0.049723756906077346,0.4143646408839779,0.23756906077348067
