,target,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height
0,1,0.9408284023668639,0.9408284023668639,0.7218934911242604,0.3431952662721893,0.1242603550295858,0.3727810650887574,0.03550295857988166,0.20118343195266272,0.28994082840236685,0.17159763313609466,0.047337278106508875,0.17751479289940827,0.05325443786982249,0.39644970414201186,0.1893491124260355
1,1,0.9615384615384616,0.9615384615384616,0.8076923076923077,0.36153846153846153,0.1076923076923077,0.3769230769230769,0.05384615384615385,0.2,0.34615384615384615,0.18461538461538463,0.05384615384615385,0.19230769230769232,0.05384615384615385,0.36923076923076925,0.11538461538461539
2,1,0.9705882352941176,0.9705882352941176,0.8235294117647058,0.35294117647058826,0.07647058823529412,0.3588235294117647,0.03529411764705882,0.2,0.3588235294117647,0.2,0.07058823529411765,0.2,0.07058823529411765,0.34705882352941175,0.13529411764705881
3,1,0.9421965317919075,0.9421965317919075,0.7687861271676301,0.3352601156069364,0.09248554913294797,0.35260115606936415,0.04046242774566474,0.1907514450867052,0.34104046242774566,0.1907514450867052,0.06358381502890173,0.18497109826589594,0.057803468208092484,0.3468208092485549,0.16184971098265896
4,1,0.9933333333333333,0.9933333333333333,0.86,0.36,0.06,0.36,0.04,0.19333333333333333,0.36666666666666664,0.18666666666666668,0.07333333333333333,0.19333333333333333,0.07333333333333333,0.32666666666666666,0.12
5,1,0.9166666666666666,0.9166666666666666,0.7777777777777778,0.3277777777777778,0.08333333333333333,0.35,0.03888888888888889,0.19444444444444445,0.34444444444444444,0.17777777777777778,0.05,0.17222222222222222,0.05,0.35,0.18888888888888888
6,1,1.0224719101123596,1.0224719101123596,0.7752808988764045,0.3707865168539326,0.10112359550561797,0.3651685393258427,0.05056179775280899,0.21348314606741572,0.34831460674157305,0.19101123595505617,0.06741573033707865,0.1853932584269663,0.06741573033707865,0.3707865168539326,0.11235955056179775
7,1,0.9947089947089947,0.9947089947089947,0.8253968253968254,0.4074074074074074,0.1111111111111111,0.4126984126984127,0.0582010582010582,0.21693121693121692,0.3915343915343915,0.18518518518518517,0.047619047619047616,0.17989417989417988,0.042328042328042326,0.328042328042328,0.14814814814814814
8,2,0.9689922480620154,0.9689922480620154,0.6744186046511628,0.3333333333333333,0.13953488372093023,0.35658914728682173,0.046511627906976744,0.17054263565891473,0.3178294573643411,0.18604651162790697,0.05426356589147287,0.18604651162790697,0.05426356589147287,0.40310077519379844,0.11627906976744186
9,2,0.9266666666666666,0.9266666666666666,0.8266666666666667,0.3466666666666667,0.09333333333333334,0.35333333333333333,0.03333333333333333,0.18,0.3466666666666667,0.18,0.05333333333333334,0.18,0.05333333333333334,0.38666666666666666,0.12666666666666668
10,2,0.9652173913043478,0.9652173913043478,0.7478260869565218,0.33043478260869563,0.13043478260869565,0.3565217391304348,0.043478260869565216,0.19130434782608696,0.34782608695652173,0.17391304347826086,0.06956521739130435,0.1826086956521739,0.0782608695652174,0.3652173913043478,0.1565217391304348
11,3,0.9579439252336449,0.9579439252336449,0.7476635514018691,0.3130841121495327,0.08411214953271028,0.29906542056074764,0.03271028037383177,0.17289719626168223,0.3177570093457944,0.17289719626168223,0.04205607476635514,0.17289719626168223,0.0514018691588785,0.4158878504672897,0.19158878504672897
12,3,0.9602649006622517,0.9602649006622517,0.8145695364238411,0.2980132450331126,0.052980132450331126,0.2980132450331126,0.033112582781456956,0.16556291390728478,0.33112582781456956,0.17218543046357615,0.059602649006622516,0.17218543046357615,0.059602649006622516,0.3509933774834437,0.17880794701986755
13,3,1.0338983050847457,1.0338983050847457,0.8389830508474576,0.3389830508474576,0.05084745762711865,0.3389830508474576,0.05084745762711865,0.19491525423728814,0.3728813559322034,0.19491525423728814,0.059322033898305086,0.1864406779661017,0.06779661016949153,0.3898305084745763,0.17796610169491525
14,4,0.972972972972973,0.972972972972973,0.5783783783783784,0.2918918918918919,0.14054054054054055,0.32432432432432434,0.043243243243243246,0.16756756756756758,0.2810810810810811,0.1837837837837838,0.05405405405405406,0.1837837837837838,0.043243243243243246,0.41621621621621624,0.24324324324324326
15,4,0.9836065573770492,0.9836065573770492,0.7131147540983607,0.3114754098360656,0.09836065573770492,0.3114754098360656,0.04918032786885246,0.1885245901639344,0.32786885245901637,0.20491803278688525,0.05737704918032787,0.19672131147540983,0.06557377049180328,0.45081967213114754,0.1885245901639344
16,4,0.9917355371900827,0.9917355371900827,0.7355371900826446,0.3305785123966942,0.08264462809917356,0.3140495867768595,0.049586776859504134,0.18181818181818182,0.33884297520661155,0.19834710743801653,0.0743801652892562,0.19834710743801653,0.06611570247933884,0.4132231404958678,0.15702479338842976
17,4,0.9831932773109243,0.9831932773109243,0.6638655462184874,0.31932773109243695,0.09243697478991597,0.3025210084033613,0.058823529411764705,0.17647058823529413,0.3277310924369748,0.20168067226890757,0.06722689075630252,0.19327731092436976,0.06722689075630252,0.42016806722689076,0.15126050420168066
18,5,0.9562043795620438,0.9562043795620438,0.7299270072992701,0.34306569343065696,0.0948905109489051,0.31386861313868614,0.043795620437956206,0.20437956204379562,0.34306569343065696,0.17518248175182483,0.043795620437956206,0.17518248175182483,0.058394160583941604,0.35036496350364965,0.17518248175182483
19,5,0.9570552147239264,0.9570552147239264,0.8220858895705522,0.3128834355828221,0.08588957055214724,0.31901840490797545,0.06134969325153374,0.2085889570552147,0.3803680981595092,0.17791411042944785,0.06134969325153374,0.1901840490797546,0.06748466257668712,0.32515337423312884,0.18404907975460122
20,5,0.968503937007874,0.968503937007874,0.7795275590551181,0.3700787401574803,0.12598425196850394,0.30708661417322836,0.03937007874015748,0.18110236220472442,0.3543307086614173,0.2047244094488189,0.07086614173228346,0.1968503937007874,0.07086614173228346,0.31496062992125984,0.18110236220472442
21,6,1.0579710144927537,1.0579710144927537,0.8623188405797102,0.3695652173913043,0.09420289855072464,0.39855072463768115,0.028985507246376812,0.21014492753623187,0.38405797101449274,0.18115942028985507,0.028985507246376812,0.1956521739130435,0.043478260869565216,0.34782608695652173,0.15942028985507245
22,6,1.1896551724137931,1.1896551724137931,0.8620689655172413,0.4224137931034483,0.10344827586206896,0.4224137931034483,0.034482758620689655,0.27586206896551724,0.41379310344827586,0.21551724137931033,0.02586206896551724,0.20689655172413793,0.034482758620689655,0.39655172413793105,0.15517241379310345
23,6,1.1640625,1.1640625,0.84375,0.3984375,0.1015625,0.4296875,0.03125,0.2265625,0.3984375,0.203125,0.0390625,0.2109375,0.0390625,0.375,0.140625
24,7,0.9813084112149533,0.9813084112149533,0.794392523364486,0.3177570093457944,0.102803738317757,0.32710280373831774,0.028037383177570093,0.18691588785046728,0.3177570093457944,0.18691588785046728,0.07476635514018691,0.17757009345794392,0.06542056074766354,0.35514018691588783,0.14953271028037382
25,7,1.02,1.02,0.84,0.33,0.08,0.36,0.04,0.22,0.35,0.17,0.05,0.18,0.05,0.4,0.12
26,7,1.0275229357798166,1.0275229357798166,0.7798165137614679,0.3302752293577982,0.10091743119266056,0.3486238532110092,0.03669724770642202,0.1926605504587156,0.3302752293577982,0.1926605504587156,0.05504587155963303,0.1834862385321101,0.05504587155963303,0.3853211009174312,0.13761467889908258
27,7,0.9134615384615384,0.9134615384615384,0.8173076923076923,0.2692307692307692,0.057692307692307696,0.33653846153846156,0.057692307692307696,0.16346153846153846,0.33653846153846156,0.14423076923076922,0.057692307692307696,0.16346153846153846,0.057692307692307696,0.28846153846153844,0.16346153846153846
28,8,1.0155038759689923,1.0155038759689923,0.875968992248062,0.35658914728682173,0.06201550387596899,0.3333333333333333,0.05426356589147287,0.20155038759689922,0.35658914728682173,0.20155038759689922,0.05426356589147287,0.1937984496124031,0.046511627906976744,0.3875968992248062,0.12403100775193798
29,8,1.0169491525423728,1.0169491525423728,0.8135593220338984,0.3389830508474576,0.0847457627118644,0.3220338983050847,0.03389830508474576,0.211864406779661,0.3305084745762712,0.17796610169491525,0.0423728813559322,0.17796610169491525,0.0423728813559322,0.4576271186440678,0.2033898305084746
30,9,1.021505376344086,1.021505376344086,0.8172043010752689,0.3548387096774194,0.0967741935483871,0.34408602150537637,0.043010752688172046,0.20430107526881722,0.3655913978494624,0.1935483870967742,0.053763440860215055,0.1935483870967742,0.06451612903225806,0.3655913978494624,0.15053763440860216
31,9,0.9108910891089109,0.9108910891089109,0.7821782178217822,0.26732673267326734,0.0891089108910891,0.27722772277227725,0.04950495049504951,0.2079207920792079,0.33663366336633666,0.15841584158415842,0.019801980198019802,0.15841584158415842,0.019801980198019802,0.40594059405940597,0.2079207920792079
