,target,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height,eye2eye_dist,Reye2nose_dist,Leye2nose_dist,nose2mouse_dist,Reye2mouse_dist,Leye2mouse_dist
0,0,1.006896551724138,1.0,0.8137931034482758,0.3793103448275862,0.07586206896551724,0.3586206896551724,0.034482758620689655,0.19310344827586207,0.33793103448275863,0.1793103448275862,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.36551724137931035,0.13793103448275862,0.48165857152316255,0.3163390935634227,0.3003624500506833,0.30776900934417767,0.5605346922662153,0.5500337250496857
1,0,1.0070921985815602,1.0,0.8085106382978723,0.3900709219858156,0.0851063829787234,0.3829787234042553,0.03546099290780142,0.19858156028368795,0.3404255319148936,0.1773049645390071,0.0425531914893617,0.1773049645390071,0.04964539007092199,0.3475177304964539,0.14893617021276595,0.4775940330956383,0.31090018182907314,0.3111954507745832,0.32779037603724237,0.5767712176668076,0.5805552757807807
2,0,1.0434782608695652,1.0,0.6521739130434783,0.34782608695652173,0.14492753623188406,0.35507246376811596,0.050724637681159424,0.1956521739130435,0.2826086956521739,0.15942028985507245,0.028985507246376812,0.17391304347826086,0.036231884057971016,0.37681159420289856,0.17391304347826086,0.4565585446401041,0.24949644729067794,0.2472129885538477,0.3377210907465048,0.4966895032827258,0.48673345105846727
3,0,1.0425531914893618,1.0,0.75177304964539,0.375886524822695,0.10638297872340426,0.36879432624113473,0.03546099290780142,0.19148936170212766,0.3049645390070922,0.1702127659574468,0.02127659574468085,0.16312056737588654,0.03546099290780142,0.36879432624113473,0.15602836879432624,0.45787763537588905,0.275892872845861,0.25790290086832013,0.33422415241903153,0.5343411567596615,0.5139976427784976
4,0,1.0205479452054795,1.0,0.7876712328767124,0.3767123287671233,0.0958904109589041,0.3698630136986301,0.0410958904109589,0.1917808219178082,0.3219178082191781,0.1643835616438356,0.0273972602739726,0.17123287671232876,0.0273972602739726,0.3493150684931507,0.15753424657534246,0.4543461599487717,0.2882984256918804,0.27376726037675514,0.33153375568507315,0.5528065600985316,0.5401602848962557
5,0,1.056338028169014,1.0,0.7605633802816901,0.3732394366197183,0.11971830985915492,0.3873239436619718,0.035211267605633804,0.19718309859154928,0.3380281690140845,0.18309859154929578,0.04225352112676056,0.18309859154929578,0.04929577464788732,0.3732394366197183,0.176056338028169,0.4906123503339077,0.2989872811769476,0.30389956061191226,0.34211823711551875,0.5738655774144074,0.5710841860985169
6,0,1.0136986301369864,1.0,0.7534246575342466,0.3767123287671233,0.10273972602739725,0.3493150684931507,0.0273972602739726,0.19863013698630136,0.3287671232876712,0.17123287671232876,0.03424657534246575,0.1643835616438356,0.0410958904109589,0.3767123287671233,0.17123287671232876,0.4818052709265395,0.3093352499658201,0.2916103934222611,0.334542480936044,0.5709191716054574,0.564445357720602
7,0,1.0133333333333334,1.0,0.78,0.38666666666666666,0.09333333333333334,0.36,0.03333333333333333,0.19333333333333333,0.34,0.16666666666666666,0.02666666666666667,0.16666666666666666,0.02666666666666667,0.37333333333333335,0.16666666666666666,0.48002962871519134,0.30250395365235916,0.29037787216310973,0.33338534779359574,0.5635069752106988,0.5589709791711512
8,0,1.0135135135135136,1.0,0.7702702702702703,0.38513513513513514,0.10810810810810811,0.3783783783783784,0.04054054054054054,0.20270270270270271,0.3310810810810811,0.16891891891891891,0.02702702702702703,0.16891891891891891,0.033783783783783786,0.3716216216216216,0.1891891891891892,0.4774851265748014,0.29635288048807595,0.3039622962656505,0.33600112005604627,0.5659316343547266,0.574702776739771
9,0,0.9666666666666667,1.0,0.82,0.38,0.07333333333333333,0.38,0.04666666666666667,0.2,0.35333333333333333,0.16,0.02,0.16666666666666666,0.02,0.36,0.14,0.46777777777777774,0.299336587002398,0.3025031464879607,0.3143346970718708,0.5548563822632588,0.555792327322995
