,dct_0,dct_1,dct_2,dct_3,dct_4,dct_5,dct_6,dct_7,dct_8,dct_9,dct_10,dct_11,dct_12,dct_13,dct_14,dct_15,dct_16,dct_17,dct_18,dct_19,dct_20,dct_21,dct_22,dct_23,dct_24,dct_25,dct_26,dct_27,dct_28,dct_29,dct_30,dct_31,dct_32,dct_33,dct_34,dct_35,dct_36,dct_37,dct_38,dct_39,dct_40,dct_41,dct_42,dct_43,dct_44,dct_45,dct_46,dct_47,dct_48,dct_49,dct_50,dct_51,dct_52,dct_53,dct_54,dct_55,dct_56,dct_57,dct_58,dct_59,dct_60,dct_61,dct_62,dct_63,dct_64,dct_65,dct_66,dct_67,dct_68,dct_69,dct_70,dct_71,dct_72,dct_73,dct_74,dct_75,dct_76,dct_77,dct_78,dct_79,dct_80,dct_81,dct_82,dct_83,dct_84,dct_85,dct_86,dct_87,dct_88,dct_89,dct_90,dct_91,dct_92,dct_93,dct_94,dct_95,dct_96,dct_97,dct_98,dct_99,dct_100,dct_101,dct_102,dct_103,dct_104,dct_105,dct_106,dct_107,dct_108,dct_109,dct_110,dct_111,dct_112,dct_113,dct_114,dct_115,dct_116,dct_117,dct_118,dct_119,dct_120,dct_121,dct_122,dct_123,dct_124,dct_125,dct_126,dct_127,dct_128,dct_129,dct_130,dct_131,dct_132,dct_133,dct_134,dct_135,dct_136,dct_137,dct_138,dct_139,dct_140,dct_141,dct_142,dct_143,dct_144,dct_145,dct_146,dct_147,dct_148,dct_149,dct_150,dct_151,dct_152,dct_153,dct_154,dct_155,dct_156,dct_157,dct_158,dct_159,dct_160,dct_161,dct_162,dct_163,dct_164,dct_165,dct_166,dct_167,dct_168,dct_169,dct_170,dct_171,dct_172,dct_173,dct_174,dct_175,dct_176,dct_177,dct_178,dct_179,dct_180,dct_181,dct_182,dct_183,dct_184,dct_185,dct_186,dct_187,dct_188,dct_189,dct_190,dct_191,dct_192,dct_193,dct_194,dct_195,dct_196,dct_197,dct_198,dct_199,dct_200,dct_201,dct_202,dct_203,dct_204,dct_205,dct_206,dct_207,dct_208,dct_209,dct_210,dct_211,dct_212,dct_213,dct_214,dct_215,dct_216,dct_217,dct_218,dct_219,dct_220,dct_221,dct_222,dct_223,dct_224,target
0,5794.5386,-257.97794,-795.58044,-422.71893,-242.80145,-396.30157,-615.9627,-252.49344,-792.87604,-164.49026,-182.32823,-50.981247,-623.47894,323.9008,49.169285,-123.56059,64.309654,200.33694,-219.68219,-49.242252,-2.4095147,-23.270885,82.4664,192.27007,-89.79362,332.30576,26.565931,418.7057,-274.23688,393.6194,122.20147,57.214622,9.734924,-23.134405,-82.84581,239.8869,-285.15067,121.74396,-157.9325,36.264683,-347.62677,-160.43695,-147.72897,48.98852,-311.82764,-62.20564,-180.39839,-112.27613,-97.85533,152.50923,92.90485,237.89128,351.04495,199.89725,206.1182,23.451805,93.17141,-303.10962,138.33887,-121.83549,263.77448,-159.13422,134.6313,-167.8336,23.99203,-208.19801,122.55605,-70.68338,-109.33564,107.73641,58.06649,-53.34887,52.431786,-91.7226,-8.990109,-297.62268,-32.874752,-225.49438,40.69447,-152.86206,34.226387,104.412926,137.75572,190.94724,166.7962,198.69255,68.853355,75.67275,-56.52222,-88.19899,-14.602401,8.799037,43.674248,-52.06551,-92.91913,149.12556,-15.608024,97.44952,-181.16885,119.97512,-173.84015,-154.66696,-198.59247,-79.90507,34.08049,-44.84702,-94.23103,29.731749,32.15315,185.48654,-36.424263,143.09583,67.413284,64.74703,59.276276,10.160178,5.3323016,24.885305,-60.71714,42.464928,-31.822802,55.22396,74.80847,67.46561,-11.395826,-64.98922,41.532883,-160.25764,-78.64477,-82.21962,-128.69775,-124.639626,55.27907,3.6221046,43.900494,39.401752,51.05012,24.301702,146.06573,-83.16065,-46.845554,-32.06575,-10.207718,65.5415,28.633173,86.021355,-56.55411,110.64914,-17.880245,56.37282,4.934089,62.398537,-52.19565,23.311672,4.873875,-115.444244,-51.42543,-57.273624,-55.788906,-47.46523,1.4306792,-7.5170527,49.275787,-27.578459,56.783672,-34.23402,75.526634,-10.18463,27.922832,-23.003897,26.225494,-74.19201,9.857094,-24.089844,-18.861473,32.811195,27.004126,9.641312,97.286606,-14.776333,112.745056,-65.94262,133.84554,12.134622,33.474426,18.158222,-96.028786,-114.72621,-175.32391,-55.046097,-12.537759,-117.25703,-78.38828,-17.373692,145.0231,90.83382,66.417694,113.06481,-38.418907,151.93799,-69.29714,42.756382,-48.99131,74.423485,67.34603,-16.383364,-140.54967,-49.34682,-66.22486,-3.9640412,-68.88891,24.481712,-57.374405,115.80057,-61.44824,80.839325,8.5323925,71.949844,11.623054,32.149376,12.375642,-37.193295,-32.320717,34.129314,-108.10942,1
1,4768.9473,1.7902085,-725.5952,201.55397,-603.548,-67.02924,-829.9845,-4.653507,-836.7932,-273.87875,-380.55118,-18.756033,-483.5276,100.26828,-180.0302,-58.725918,-237.23238,129.17532,257.11218,8.186569,14.652598,104.7286,44.42958,-2.116875,291.43152,8.422096,230.09909,-127.15069,295.63083,-130.2499,290.76227,-29.671595,-40.948837,41.899548,113.68889,119.918465,-42.40498,109.90364,-143.93361,-142.48149,-232.73114,113.82074,-152.9115,-18.860521,-246.72604,30.70758,-163.79271,-66.2233,-84.359856,-40.26157,17.660566,113.40548,63.668854,-244.18123,50.236324,-73.49531,345.03647,-46.958534,64.927315,140.90082,12.189362,154.9614,79.5369,98.178566,220.53549,232.92473,67.677925,-85.18853,228.6371,-124.30082,-251.94699,-222.65686,-344.57495,-170.17818,-327.32974,-66.8723,-246.56042,66.69346,-113.95846,178.17621,81.59913,196.75581,231.81053,138.94276,270.62912,10.1818495,227.00565,-184.9874,69.311455,-198.86627,37.647232,-249.87706,-124.19472,43.93024,-115.68378,101.70685,-42.56366,206.67464,0.0713359,214.40799,-7.1828794,106.2112,70.29331,-70.1353,-53.093456,-147.98447,-29.01196,-127.56377,-87.55273,-63.28387,-112.42019,-13.027472,-62.575188,19.641521,114.078964,55.782974,34.809776,-22.122597,91.38688,-50.412968,112.26554,-124.139915,57.70254,2.57582,77.772804,119.68929,-84.79331,139.64845,-71.15039,145.35504,-93.154076,65.007484,22.959824,67.787766,-44.57444,-111.239586,4.8866553,-120.249054,-93.2847,-106.92497,-43.644875,-92.70179,25.005018,-125.26899,82.93702,20.430094,59.952454,97.65302,133.95175,9.415424,29.534575,18.198973,-15.816884,80.31192,-51.329903,-35.512432,-103.66991,31.852884,10.661222,7.7455816,-88.586205,30.972273,-6.8611,153.97128,5.90657,143.38861,56.89512,-30.684456,-39.456722,-37.861187,86.8318,-171.81923,20.694933,-193.42744,2.6423485,-234.3649,22.49315,-61.80019,-13.230111,37.548626,21.413324,185.22275,-39.37596,201.70798,-41.5822,89.862976,-57.060204,38.691467,21.674206,13.039205,23.829529,-52.746357,28.495705,-107.17682,-54.78625,84.92537,3.4705229,45.21905,43.04636,29.037325,11.26877,-2.5761256,19.765343,-116.58529,59.677578,-103.41367,-17.481428,-118.91318,-73.67274,-51.3391,-75.01166,-39.95705,66.50443,105.218315,-21.164097,108.88426,31.274538,50.888737,25.044138,76.82213,26.737566,35.872135,-36.632317,5.9167657,-64.221016,1
2,5551.8413,-247.32477,-120.5854,-757.45526,195.90889,-162.94704,245.69931,-244.25298,-305.96265,-156.89485,54.28185,-276.1254,-100.25837,-243.1678,-163.10025,-217.69002,18.012993,-62.64996,7.2901535,-309.8501,-1.7437419,-52.121647,210.5798,-51.608345,-14.354433,-163.65799,-149.69083,-74.86078,-196.21513,-139.45302,-144.2512,-57.601673,-196.14807,-90.903,-203.06882,68.51252,-32.30712,80.05626,-170.88536,88.5198,-41.388596,-32.364033,-236.97594,38.760704,-156.16339,-181.99458,-56.222443,5.3890657,-107.02232,-233.94534,273.04297,-38.713905,174.75526,98.715454,103.012054,40.840893,192.86874,115.31266,237.95836,-115.04577,-53.60778,53.98921,54.074604,-161.03397,-75.83515,-95.0123,-51.237278,48.259686,21.366405,-70.08679,-73.056435,17.584202,-69.384766,135.26877,270.22034,177.99924,50.681873,244.35786,155.95746,117.28496,-120.195786,202.67363,-5.7918077,257.57816,-146.13306,298.2738,-96.45408,217.62006,-142.92809,279.16257,-148.95522,87.64193,-173.05083,29.426607,-177.11406,85.97832,-289.5592,115.4587,-193.9393,141.92471,-334.3062,225.25787,-305.50418,230.6621,-194.3876,175.90575,-279.73297,246.21786,-34.955444,180.24547,-271.95758,74.047066,18.511301,139.83632,-125.26315,-17.435345,-210.28383,-70.9583,-171.91615,-44.163025,-199.0389,32.5029,-194.50081,-7.138411,-29.743092,23.359962,-155.48677,16.782276,39.308666,86.82652,-118.39202,-40.800247,21.303045,29.9059,65.74891,65.52717,33.83832,-42.238655,14.886222,61.55804,142.40843,90.34344,112.09343,72.28671,-62.47716,35.013283,-12.891324,-143.7346,-51.59123,29.531527,92.6055,-69.47792,-15.026044,-39.731346,38.843044,3.068941,79.83252,-84.18607,-24.686754,59.76321,94.01647,5.7306385,34.529728,45.917694,38.808887,157.74724,40.11866,72.98538,135.3657,76.27694,33.56104,-13.868144,32.520382,-65.49886,38.602234,30.290354,8.44525,-35.77072,-25.632187,-24.708048,-102.828674,-9.86166,8.631165,15.763187,-73.01299,34.314022,-8.352292,4.503126,-50.751755,-23.16008,44.96983,-29.284786,0.9106463,14.637745,-68.00354,-125.86978,21.889296,-1.6657304,-49.77756,-79.71149,61.02917,-90.93943,-67.941345,-133.26823,61.786015,-200.2227,113.267715,-79.8173,26.41054,-174.65536,170.8047,-41.9736,58.525364,-208.98761,140.20416,-55.250435,53.84279,-21.872885,136.38644,18.84218,109.28521,10.963017,136.94194,12.239656,63.12842,1
3,3982.697,-767.5977,2.7724595,-523.34546,-96.90053,177.07315,-705.791,84.431625,-959.61084,39.79071,-139.80861,40.727592,-287.26642,108.520386,15.934385,-6.43952,-203.53683,156.39606,-289.7036,237.85692,108.08394,-16.838202,143.50822,-23.976221,162.12651,62.34033,347.0765,83.075325,315.88367,-51.575104,155.90552,-153.94727,37.631165,-327.86826,-68.94039,-151.045,-289.50888,9.097776,-181.73264,-25.64057,-51.07268,-38.56436,-73.26208,7.1113296,-209.11955,321.7654,-9.235824,297.99344,138.52283,145.8757,194.22287,16.3209,112.3163,-33.38107,-8.937553,-100.122734,-214.53517,-25.42938,-224.34546,0.28010395,-86.92573,-30.067995,66.57657,-7.9308677,119.70118,-37.039566,225.66965,-138.65909,133.2395,-131.49928,-81.132904,-98.8559,19.172272,76.29607,-96.215355,85.63562,-75.33794,131.24074,-70.56636,138.5011,-94.373344,129.0239,81.56112,46.222637,-36.46338,3.4480364,-76.356926,-19.755892,0.85087097,-5.419143,10.681613,-52.618996,-45.413322,54.93226,-46.72258,-25.65749,-48.957443,9.234686,-2.558043,-55.03601,15.167734,-94.124855,105.87671,-156.78003,153.66266,-57.57301,48.030514,126.68677,-24.908886,185.38327,-5.607922,132.92273,-40.77064,70.53847,-39.14474,26.601128,-90.68019,-47.505234,-167.7214,-149.82224,-24.323603,-157.56361,61.50802,-143.82465,163.0675,-19.601147,42.452324,59.10127,11.190996,228.06024,-70.97103,172.64978,37.76531,46.833237,51.793903,-179.05443,143.22408,-196.96574,75.84145,-138.1505,-106.30969,30.878935,-96.28936,140.65742,-58.64216,10.08508,-56.52567,20.121403,20.11918,-9.430464,37.1141,-12.756801,-11.862665,17.828487,8.074667,2.0428817,67.33101,12.450885,37.42584,21.022154,29.216932,1.1853999,-27.79717,17.29549,-55.42269,-61.488243,18.945469,-34.565742,33.221542,-71.64261,72.81744,-58.469315,38.73309,-116.30822,23.544977,-49.65304,60.57416,92.51492,-27.847618,98.78642,-97.21119,70.99778,-84.8522,79.985466,-91.262085,14.861096,8.013406,-17.78538,137.521,-113.794464,152.67522,-113.640465,31.547432,23.485437,0.4725397,43.38625,-125.60228,92.667465,-76.50579,42.505215,-34.663223,-118.380806,-56.01623,-88.876816,109.857834,-26.364794,10.797568,-4.795629,32.139755,81.781265,74.99706,46.331387,30.677322,61.61418,8.700457,35.384945,-1.1912181,4.86502,-125.05807,-36.91932,-85.69021,-24.78899,21.423138,-93.30557,34.77882,1
4,4830.46,-605.0469,-453.03262,-426.3637,-181.28612,-284.10318,-299.53278,-275.69675,-470.42538,-567.2449,113.10811,-127.11638,-208.88457,-8.122884,229.33073,-138.50932,110.575836,-9.917706,-118.65277,-156.82007,-57.799343,97.55234,284.17984,-48.35813,25.651243,205.54427,251.45715,470.6891,-222.4495,464.11316,-280.47452,336.69885,-236.58151,-2.5454926,-246.56825,-87.3782,-90.41986,-124.04326,-238.45877,95.11335,-292.85248,0.55755424,-143.06735,24.292618,-59.623993,63.04337,-211.21556,57.509636,-143.89236,459.84964,-196.82755,457.5695,264.61972,388.19394,87.42415,57.37804,187.87306,-143.44212,-263.9155,-203.8743,-231.09181,-108.53037,-146.68185,-19.128279,-103.46174,-5.993157,-65.85171,152.3533,-121.782936,-74.2289,16.477634,-48.315323,188.39648,-168.06383,359.63788,-101.81558,205.46707,-39.457367,271.63687,-142.38995,77.35365,101.92144,154.17633,-13.532611,-114.22591,-100.248856,18.794592,-204.486,81.37051,-153.38182,-140.73245,-244.18648,2.9851553,-86.7667,-21.727524,-80.844215,247.55646,-19.895193,241.67688,-40.01144,105.20963,134.80324,-28.025969,162.00609,-25.822117,261.9339,-18.580236,1.5777489,29.789688,-31.854563,-78.812,-195.78473,-206.07281,-133.83641,-81.644745,-153.9349,-100.479294,-32.7507,0.4758583,154.93968,59.32056,111.60156,40.249477,183.79716,-24.494013,106.90176,-53.261696,152.89813,87.77471,-10.090849,101.43552,-28.170673,28.712444,-42.95095,-4.4598355,-153.24677,-169.67615,-26.006124,-190.63667,33.055965,-169.87103,100.92035,-11.561011,0.41445395,-41.790817,1.1656394,21.561617,-151.94284,135.38089,195.14682,139.81676,13.271506,120.2081,56.930088,48.57269,110.46695,44.39502,-52.21279,-66.953766,-24.919937,-99.08485,-35.847275,-148.02655,31.054047,-135.49544,-169.457,-135.45128,-37.741512,-55.407166,-36.164185,127.13756,176.84096,134.29103,44.455204,128.07523,75.50306,27.30475,1.9168289,19.47405,-3.4437294,-23.820324,45.031067,-51.957005,49.434147,-117.95539,36.576187,-84.920235,-23.470894,-123.07358,-72.69871,67.98853,-66.44279,-13.578225,-82.213264,116.98742,-5.9921265,-17.300026,-40.6727,98.15793,74.40452,33.499065,8.583762,76.24999,21.455809,55.85507,24.812262,0.31798095,-49.756134,-7.628546,16.730125,-72.93728,-109.88834,-9.405788,-44.94734,-5.0239453,-64.2088,105.547356,15.57056,-100.278305,-29.339722,2.905147,-11.474505,8.370618,95.65269,161.84624,1
5,4393.157,-952.64685,25.756577,-625.25494,585.31805,-131.75146,-605.46497,-409.44647,-837.1175,45.370724,-126.3344,3.7885785,-328.57346,57.22312,-107.74896,-11.93607,-318.66486,289.07602,-10.763543,194.0744,189.7799,297.8477,194.6961,369.9323,-159.84103,75.02305,-40.29416,113.61233,-251.68135,155.002,79.81919,89.65586,-194.20276,-238.61401,-143.77419,-276.9677,-177.41658,-381.8084,-4.4443016,-7.8257456,248.39703,54.46631,150.6248,174.48682,139.53802,92.77232,-58.56867,9.559139,223.39592,68.89133,10.744458,139.9117,139.34041,77.511375,-120.27204,-210.79305,-209.66176,-336.93738,-125.35973,-381.0312,-8.584023,-136.36719,80.9057,132.99806,245.03975,167.58942,-15.522271,325.8103,44.243843,37.36188,-56.406075,191.99496,-178.94403,88.0018,-107.704956,202.4093,-365.73132,65.721,22.986845,-112.26449,-29.87347,-171.96512,174.33423,-177.08842,179.91489,-89.95285,20.362562,-32.79511,-47.30962,27.77973,-16.764278,-26.530106,-28.714096,110.883354,157.368,79.223625,74.065414,117.49997,-35.618866,-101.283485,43.071487,-116.79713,-146.33792,-56.138443,51.321262,79.21376,-94.27492,82.42588,-70.930275,42.958035,-147.52142,-4.4088044,-169.05276,80.47333,-73.81581,139.09616,34.877533,85.08502,150.34734,-34.0493,139.8186,-113.36081,45.48269,-39.750404,-42.11342,-23.198992,-40.939865,17.292423,-34.830353,-78.218,28.373375,56.749645,-144.13936,117.55769,-62.92814,106.90976,-112.80876,-30.171345,8.998016,-122.883896,57.88508,-146.91641,133.26584,-84.70265,132.63406,81.32321,156.50278,28.249035,30.311064,3.071225,-15.677935,-33.690067,-70.385056,43.78644,-140.88846,7.2503734,-75.26792,-2.599718,-15.903681,-118.90408,31.736378,-43.92584,18.977661,-4.118011,131.40485,2.2708476,24.786846,132.1328,47.030655,49.261623,-38.87533,98.40462,-68.29563,111.30824,-140.36977,-51.962414,-62.924915,-81.84718,28.841928,-131.78415,-17.681456,-110.50907,167.30725,15.723692,45.308304,-18.784235,44.06878,18.012661,67.012436,-3.2865746,25.753033,-58.59628,38.585384,90.93304,27.601086,-82.56479,-63.94104,8.609429,50.709404,-42.816853,30.200891,-113.74821,52.22036,-89.973366,-11.989703,-57.700012,-106.4546,-41.073368,46.32965,101.3707,35.54133,17.30955,83.73745,189.03705,5.6934476,61.408314,-134.63873,71.370544,-44.367897,-5.146215,-61.665653,-115.96255,5.2201138,-60.86425,-39.961395,1
6,5597.697,397.3154,529.9286,-565.44116,324.78802,-45.669365,143.872,-70.129234,-558.74927,204.38304,92.2112,106.46714,-267.62775,134.23758,43.57623,3.5674093,-180.86702,-12.693484,122.58908,-61.10539,-387.3546,-123.904945,49.49184,32.72679,-421.04913,-23.407536,-271.56772,49.677204,-303.1835,53.964546,-327.30957,-99.219,-159.16196,243.8733,-374.29285,26.562258,-243.50095,84.11233,-245.3378,73.13328,-86.2202,-66.555534,61.514675,275.23227,155.05695,180.10242,50.00647,90.38056,-9.221654,260.58313,8.064085,260.5449,-145.97256,143.24196,223.68286,127.847015,69.96132,-5.38677,141.22542,-111.49275,-67.13192,35.75521,186.74933,-129.19766,63.13347,-106.32997,36.51321,-78.80943,-19.437698,-145.1953,-157.24818,-1.4818448,-104.98747,115.52684,-204.67169,21.157589,-130.12907,-22.955011,-108.13378,-8.281335,-26.775293,-385.06403,-62.28429,-167.17381,-21.14401,-321.27438,-40.51882,-138.40561,20.557,-197.75748,-26.690447,-11.437147,36.307575,-14.868332,-2.3500252,-107.5835,-16.035294,-15.830729,5.8225055,-87.39069,24.702084,-91.00284,128.23586,-126.20256,165.44109,80.59238,193.60002,30.374044,85.219055,12.5843525,5.244967,-2.161492,62.46974,-35.014175,23.486855,-52.037514,160.73322,-34.241905,-91.35011,147.14693,-37.463406,104.8685,-101.10281,-55.40613,-139.44609,-79.91027,-97.65876,-84.30668,-18.289087,-25.35807,-95.190475,-50.874897,-145.41306,-6.9161544,-221.8452,53.75257,-346.27484,-90.03912,-174.40993,-30.819832,-227.38203,207.0,-60.53838,-15.747044,-58.924164,13.57435,61.97212,45.519253,24.718834,31.121704,19.427954,61.106056,-13.444343,105.05331,44.48267,137.24176,31.40411,133.08614,83.075226,117.79148,49.211956,72.505066,13.317755,110.66298,84.53857,194.68005,71.403694,144.73424,-32.602764,25.953482,106.15377,-15.927357,33.536648,-102.70492,24.405005,-50.72365,95.96917,1.8278927,127.37626,-92.0064,18.885267,15.475996,43.852627,-109.11971,118.94095,-154.61441,78.88188,-148.07913,12.365634,-130.93053,26.438482,-118.99519,-51.86415,-203.3063,-15.525373,-85.684746,86.47718,-41.878983,-1.3404847,31.4994,-38.998837,42.35728,-38.10294,37.871254,-36.741913,97.27006,42.13144,105.91171,66.04632,71.82131,51.02875,70.227745,2.4335766,54.588535,21.684677,118.88444,-29.474506,106.459946,60.877735,47.42997,156.54475,8.4342,34.935898,16.301252,70.67263,1
7,6094.276,421.07224,-267.0127,47.177837,-227.50873,289.2221,-564.6969,525.228,-1022.5833,566.53015,-363.92444,-32.06056,-474.25055,-68.61302,-96.015976,-405.30057,73.210304,-325.04776,-6.091891,-226.05783,16.653921,-241.69017,-349.35696,-228.42307,-26.331367,-262.89212,166.75403,-102.842834,-174.6786,-415.93457,-180.4239,-138.62439,-394.65424,55.702156,-17.771446,157.48499,-223.66129,-41.50855,-127.91724,139.99432,-93.48,59.003887,81.59002,144.63083,-15.698867,-49.133373,67.07108,-42.96857,197.41556,-238.9458,198.7525,-41.941044,95.22843,-77.807205,45.3841,243.35655,267.605,449.60324,-14.586517,331.1493,185.40605,388.8798,72.36588,171.2035,154.33855,-118.47104,-60.448933,-171.54095,38.66937,-231.4387,-292.2137,-272.02655,-122.968544,-14.547672,-120.68097,-34.517235,-109.58243,9.537869,191.7408,153.55391,64.71199,-65.229324,193.53581,10.212109,50.094368,-57.239956,-231.63127,-146.66437,-376.97406,-51.27127,-334.1799,-100.35355,-197.98363,-234.86517,-125.587204,-153.6358,38.981876,-196.29485,86.522606,-13.723514,62.602448,-84.57851,-7.483264,84.78129,39.800568,23.377396,-35.324974,109.44351,35.487705,25.26408,-10.911482,195.18283,83.72853,116.43116,117.4342,45.2166,20.907665,-25.517143,181.66333,-16.819544,9.048746,-50.267265,-68.51185,21.184242,-78.9078,17.484106,-24.863195,39.15858,-63.304886,88.02052,94.83155,40.568928,82.243706,80.44308,91.311646,54.855637,52.07481,63.05322,141.40852,72.022766,56.724163,67.65407,73.21362,22.772385,-41.301308,-66.69206,35.813023,-53.62343,-96.84376,-96.15542,-79.19972,-6.0838895,-143.93346,-100.55499,-75.44124,-59.386536,11.138709,35.23805,14.262739,53.58764,-10.819125,118.95548,68.279335,68.922165,26.61265,-104.5294,57.369095,-19.680279,-62.051804,-103.80385,-48.89485,-39.75282,-1.1840544,-82.87321,56.549866,-47.149746,79.11206,-69.48111,-8.1811075,-33.760487,32.827435,161.1838,-94.91664,133.84224,-82.563934,149.92064,-63.540142,53.661674,-18.479906,-76.80048,46.556396,-92.53019,105.40786,-74.108086,107.128136,-87.57872,35.712654,60.17917,67.84502,27.643332,46.76675,73.19966,-12.506649,-105.84105,11.984347,25.332708,40.34705,38.25866,-48.00922,46.048016,-77.4456,10.238234,-174.65712,-17.025307,-82.357796,29.652382,-146.47533,-85.932724,-28.254404,-36.831196,-0.20944612,-181.33617,52.397015,-110.644966,145.81813,1
8,4541.907,0.05594338,-332.9174,206.57204,-370.40314,247.72755,-378.01093,-36.897327,-505.06226,-107.64053,-392.38644,49.297676,-291.95142,153.0697,-106.08738,236.2673,-420.6226,-174.00507,-40.220432,-71.99033,-140.09254,17.135323,-0.85388035,135.58759,-175.47034,-118.81275,13.062889,-130.83206,-142.39793,-242.10327,254.75731,-135.31683,-184.77286,-27.87939,132.75052,94.97156,38.00935,123.64123,35.760063,260.9336,156.89137,82.27116,-158.97256,-98.25891,-32.248272,-18.222082,-206.48798,-150.76344,-47.547573,117.81655,27.241892,-229.65482,88.810905,5.6740575,89.25496,-141.60812,-146.3235,-156.22131,-170.47287,-52.108395,-25.448309,-181.53252,-74.54945,-105.73405,55.878902,-63.65796,6.5347853,19.038988,62.13766,-30.296429,152.44962,-32.138714,32.82106,154.09511,-6.1282096,92.60354,-119.17087,115.67191,46.131226,40.39109,-16.082127,1.9619312,-9.195688,-104.40535,-31.794054,-155.13649,-38.64083,44.582012,-199.53192,12.272273,-25.616322,150.75948,80.202156,216.77223,-98.96786,53.03731,-9.6672325,-56.281864,-21.825054,-146.10002,11.168878,-129.31036,-20.636713,50.793747,114.06821,36.098232,5.6676345,161.21803,134.17923,116.322395,-15.205884,-30.702242,144.56956,-59.948666,193.48682,-154.87395,44.046402,121.07557,10.489952,84.07285,-0.28949893,62.032375,26.364782,5.321579,-103.26708,-14.882221,83.94231,-1.8742731,22.035538,29.953299,49.409534,-15.656331,27.404964,5.8984504,-31.572742,-128.84753,-9.618966,3.5091345,-114.080826,12.802592,11.374754,-56.55588,-21.417915,2.1646047,37.953506,27.37052,-75.02343,64.723755,-2.1289215,-61.0425,-66.5782,87.42213,-0.79087937,77.387314,-70.50871,39.847027,82.52573,65.94895,24.479181,119.42373,-20.26851,21.886076,46.970566,-27.402758,-26.821913,-125.023384,126.7019,-111.91936,71.051445,9.385745,49.06444,116.76353,-90.767296,-22.192274,33.75545,-74.20195,-89.75412,-56.449547,-81.00419,11.663821,-43.027016,-45.513027,-14.290555,-65.17087,39.67953,-76.597115,-22.852762,-47.18814,-88.55194,56.4454,-57.06888,-58.38345,14.717597,-48.324665,-13.299077,-58.72856,34.133118,12.937963,55.126408,49.193867,39.89387,-5.221662,81.59846,48.895275,-12.848736,-56.844296,-24.040953,64.99551,-145.12521,15.177403,-21.676579,55.52257,-31.047264,-77.06398,-0.85642284,45.31529,-26.766726,46.042618,29.950903,9.093898,-6.545376,23.742022,-56.048447,-125.667725,-51.991383,2
9,5425.46,28.316454,335.76526,379.1114,-18.643438,337.67575,-212.3458,299.66852,-273.77432,208.13853,-203.41962,260.95862,-157.43977,144.85536,-181.23828,112.42457,-30.237703,269.74588,-130.73463,30.127262,25.181728,119.12718,71.21551,325.4414,-176.57962,62.71637,209.65283,383.8153,-76.52302,-24.858204,419.1838,67.05472,-10.075678,-111.15672,-78.79661,-141.27719,118.353264,-301.45074,1.0596218,-120.946434,-137.2751,-124.674194,-188.64043,32.247578,-72.02077,-309.36633,-71.38836,-104.54935,83.49686,141.34679,-89.97492,72.26304,74.459335,148.70926,-200.455,-175.52643,50.85757,-342.41013,97.8083,-215.5828,-94.66942,-196.3766,-178.7046,-33.90296,-316.33548,62.370655,-284.94016,-45.968002,-319.12732,-66.207375,-153.17093,-69.55176,-183.0086,-217.70163,52.066063,-231.51813,-38.353874,-292.13266,-77.344055,212.40222,-211.60205,147.67554,-44.510998,122.73492,-59.490273,93.88756,-37.436825,56.220684,-94.132256,-229.83324,-69.18639,-159.63925,32.547836,-324.75845,-177.86491,-163.85747,-97.54434,86.43937,-45.485996,58.917507,84.54964,112.04101,99.09867,-18.18138,12.394397,-210.99399,-27.978477,-121.342354,-1.2700886,-27.72265,-24.72869,229.43425,-7.4010425,152.9633,68.22366,74.89902,36.47916,17.076653,52.26623,-57.58422,15.051121,-1.2355969,6.143804,-9.888712,1.4021133,57.1043,41.346016,101.544136,97.3114,61.747963,62.505573,118.75562,32.788357,57.980682,101.06903,79.85646,-0.93091565,38.724113,70.50702,-22.30581,134.21616,-35.24025,78.889946,-22.436783,68.04991,4.068052,39.81228,66.32225,53.493233,176.6361,159.70792,-13.48914,185.05722,11.880488,69.18385,34.484905,-124.064445,127.33828,-27.52883,98.500275,-6.165392,145.30292,62.159782,76.53003,41.844574,34.177155,-0.7887714,-13.816482,18.780186,54.80171,82.05269,41.35361,14.578256,27.527613,-16.842037,-13.411401,-8.7019205,-78.10661,-90.62606,34.64481,-35.57198,-50.71619,26.773901,-69.12263,81.07523,21.557594,-65.4811,72.6865,8.25213,34.391953,-43.67718,-22.15073,-20.111315,-153.96495,-93.57548,-6.5928984,10.093459,-44.960022,-70.55536,9.110626,8.79291,47.76373,17.100399,-70.7418,-62.90113,-52.965633,-41.59148,-69.215744,-46.902287,-72.845856,-15.30525,36.77518,-48.223465,-10.819576,-49.847282,89.42338,-86.38767,9.378617,-40.14804,-54.078568,-33.007553,-15.869325,-54.34755,44.687233,-123.68359,2
